class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_pseudonym,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,identifier,,,,,,,,,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr,Bologna,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mWwsLAHpHDwR,Il Fauino,Accademia dei Gelati di Bologna,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,occupation,,,,,,,,,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,related_to,,,,,,,,,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,notable_work,,,,,,,,,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,interested_in,,,,,,,,,,,,,,,,,,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",5031.0,
Agent,Paolo Emilio Balzani,,,Paolo Emilio Balzani,Paolo Emilio Balzani.md,oBzcScDB6fDj,932233313721214911539,present_in_work,,,,,,,,,,,,,,,,,,
