class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,identifier,http://www.wikidata.org/entity/Q274484,,,,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy,(Sampson 2020),,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RMrG5qDMi6DF,(Stras 2018),,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EM3HyroAYDJr,(Riley 1986),,,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2t7HgDY8Fyy6,Modena,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR,Ferrara,,,,,,,,,,,,,,
Agent,Tarquinia Molza,,,Tarquinia Molza,Tarquinia Molza.md,oVgX4nooPy2A,938634987582516855311,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kCJ6Wh9v2ggw,Parma,,,,,,,,,,,,,,
